path	mu_id
/Manga/O/OR/ORE_/Ore wa Mita	48204
/Manga/R/RO/ROCK/Rockman EXE	7233
/Manga/O/OR/ORE_/Ore no Zutto Suki na Hito	10473
/Manga/W/WO/WON_/Won't Hurt You	84011
/Manga/R/RO/RORO/Rorona no Atelier Watashi no Takaramono	49177
/Manga/S/SO/SORE/Soredewa Minasan	12131
/Manga/S/SA/SAMU/Samurai Usagi	9578
/Manga/R/RE/RETU/Return	1707
/Manga/R/RE/REBI/ReBirth - The Lunatic Taker	44570
/Manga/B/BO/BOY_/The Boy From the Moon	4175
/Manga/S/SA/SAKU/Sakurasaku Shoukougun	90673
/Manga/O/ON/ONOZ/Onozomi no Mama ni	10494
/Manga/S/SE/SENS/Sense of Love	64721
/Manga/R/RE/RECA/Recast	2963
/Manga/T/TO/TONA/Tonari no Shugoshin	4578
/Manga/S/SC/SCUR/Scuro	40506
/Manga/S/SH/SHIN/Shin Tennis no Ouji-sama	40952
/Manga/O/OR/ORE_/Ore no Imouto ga Konna ni Kawaii Wake ga Nai	39644
/Manga/N/NE/NEED/Need a Girl	45023
/Manga/T/TO/TOMO/Tomodachi to Koi no Mannaka	95267
/Manga/O/ON/ONNA/Onnanokotte Honto ni Mou	15397
/Manga/S/SU/SUIC/Suicide Island	38105
/Manga/S/SP/SPIR/Spiral Alive	6195
/Manga/S/SW/SWEE/Sweet Girl	40361
/Manga/O/OT/OTOM/Otome Historic	70862
/Manga/R/RA/RARE/Rare Ji	76260
/Manga/P/PI/PIYO/Piyo Piyo Familia	1549
/Manga/S/SO/SONO/Sono Te no Netsu wo Kasanete	40656
/Manga/S/SA/SAYO/Sayonara, Hero	94456
/Manga/T/TE/TENS/Tenshi no Tame no Shohousen	11378
/Manga/R/RI/RICO/Rico	49135
/Manga/N/NE/NEGA/Negative Happy Chain Saw Edge	19674
/Manga/S/SO/SOUL/Soul Cartel	76918
/Manga/S/SA/SAKU/Sakura no Hanasaki Kukoro	17691
/Manga/S/SH/SHIN/Shinu hodo Suki	34092
/Manga/P/PR/PRIV/Private Prince (ENJOUJI Maki)	2596
/Manga/S/SI/SILE/Silent Mobius	1787
/Manga/S/SE/SEIK/Seikoku no Ryuu Kishi	64902
/Manga/N/NA/NANA/Nana to Kaoru - Black Label	56477
/Manga/R/RE/RED_/Red Girl	80599
/Manga/O/OO/OOKA/Ookami no Ketsuzoku	56299
/Manga/P/PO/POCH/Pochi no Shiawase	10479
/Manga/S/SH/SHIZ/Shizuku Hanabira Ringo no Kaori	43645
/Manga/T/TE/TENS/Tenshi no Okurimono	14121
/Manga/R/RO/ROMA/Roman Gousha	6831
/Manga/S/SI/SILV/Silver Fang Legend Weed	9918
/Manga/V/VI/VIRG/Virgin Ripper	67499
/Manga/O/OI/OIKA/Oikakete mo Chikazukuite mo	32434
/Manga/O/OR/ORUR/Orurerian no Kishi-Hime	54568
/Manga/T/TR/TRAN/Transfer Student Storm Bringer Reboot	77685
/Manga/O/OR/OROC/Orochi	34893
/Manga/S/SA/SAWA/Sawatte, Tokashite	15616
/Manga/R/RE/RENA/Renai Koufukuron	3592
/Manga/S/SH/SHUU/Shuukyuu Shoujo	40598
